"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"traffic-simulation.nlogox"
"StressTest_Semaforo_Pare"
"09/10/2026 15:38:47:314 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","method","red-spawn","blue-spawn","has-seed","seed","[step]","fluxo-vermelhos","fluxo-azuis","tempo-total-vermelhos","tempo-total-azuis"
"299","stop sign","10","5","true","1","5000","469","248","836.1782501326277","1825.9616648504573"
"296","red light","8","5","true","1","5000","386","279","8888.821738427867","4391.139942020798"
"297","stop sign","9","5","true","1","5000","435","232","700.0912523626521","1449.1995402317875"
"300","red light","10","5","true","1","5000","480","246","9695.549257502751","3765.5065761380283"
"298","red light","9","5","true","1","5000","417","246","8186.723432590611","4046.2720786416353"
"290","red light","5","5","true","1","5000","266","237","4805.3603019617","3840.9546125592724"
"302","red light","11","5","true","1","5000","532","252","11298.493336821919","4648.451795090875"
"301","stop sign","11","5","true","1","5000","524","261","811.8707056124622","1702.3934083643906"
"303","stop sign","12","5","true","1","5000","584","246","1012.5725779341839","2186.8639306467626"
"272","red light","31","4","true","1","5000","856","215","40237.396171359695","3819.8649357272707"
"274","red light","32","4","true","1","5000","873","198","42331.75689130407","3953.6195394564743"
"273","stop sign","32","4","true","1","5000","1302","130","6625.850050561264","53766.62368280079"
"304","red light","12","5","true","1","5000","572","245","13576.519137134985","4015.968961921472"
"307","stop sign","14","5","true","1","5000","612","238","1174.5563141005239","2535.6099466128435"
"309","stop sign","15","5","true","1","5000","719","261","1737.2914827825423","5020.56645772071"
"313","stop sign","17","5","true","1","5000","779","267","1881.392094759207","6081.634792500956"
"306","red light","13","5","true","1","5000","618","265","15713.893385866853","4783.553344544693"
"310","red light","15","5","true","1","5000","699","253","18500.46057145256","4536.3034179931055"
"305","stop sign","13","5","true","1","5000","603","259","1076.3096997745615","3363.2816995995445"
"308","red light","14","5","true","1","5000","650","238","15616.541683628848","4225.640097203073"
"311","stop sign","16","5","true","1","5000","771","236","1838.4518213307779","3924.3036555322014"
"315","stop sign","18","5","true","1","5000","826","231","2167.6664794057124","7638.977272317196"
"314","red light","17","5","true","1","5000","762","253","23066.377782606764","4596.644424332638"
"283","stop sign","2","5","true","1","5000","96","249","87.57070584272653","420.8584726643228"
"319","stop sign","20","5","true","1","5000","951","239","2811.8065878645375","13941.345799234146"
"320","red light","20","5","true","1","5000","835","261","30449.247396958104","3934.9328378170267"
"312","red light","16","5","true","1","5000","758","273","21769.588219147237","4615.97357455842"
"322","red light","21","5","true","1","5000","827","227","29999.97642286531","3840.4766646803864"
"324","red light","22","5","true","1","5000","841","233","31353.32252703316","4016.7093059423405"
"321","stop sign","21","5","true","1","5000","995","228","3058.005106346589","22667.63697271059"
"323","stop sign","22","5","true","1","5000","1014","250","3327.5624301076587","19453.00859667322"
"325","stop sign","23","5","true","1","5000","1048","208","3566.8957760155836","37014.04296010503"
